Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
O Falcão Manteiga de Amendoim,Tyler Nilson,7.412,1472,"Zak (22), um jovem com síndrome de Down, foge da casa de repouso onde vive para perseguir seu sonho de se tornar um lutador profissional. frequentando a escola de luta livre The Salt Water Redneck. Por circunstâncias fora do controle deles, Tyler (32), um novato fora da lei, se torna o improvável treinador e aliado de Zak. Juntos, eles percorrem os pântanos, escapam da captura, bebem uísque, encontram Deus, pescam e convencem Eleanor, uma amável funcionária de um lar de idosos, a se juntar a eles em sua jornada.",Aventura,2019,en,https://image.tmdb.org/t/p/w500/dGNG2ActRe7eFL082KDdXl8Otpm.jpg,https://www.youtube.com/watch?v=UNl9RqjLCwc,97
A Despedida,Lulu Wang,7.42,1440,"Billi, uma forte mulher chinesa-americana, retorna à China quando sua amada avó recebe um diagnóstico terminal. Billi luta com a decisão de sua família de manter a avó no escuro sobre sua própria doença, enquanto todos organizam um casamento improvisado, uma desculpa, para ver a avó uma última vez.",Comédia,2019,en,https://image.tmdb.org/t/p/w500/amN2lqOuP1nOQB73JWChq9BsBFI.jpg,https://www.youtube.com/watch?v=RofpAjqwMa8,100
À Espreita do Mal,Adam Randall,6.999,1500,"Quando um garoto de 12 anos desaparece, o investigador principal Greg Harper luta para equilibrar a pressão da investigação e os problemas com sua esposa, Jackie. Uma grande tensão é exercida sobre a família e lentamente consome Jackie, fazendo ela perder o controle da realidade. Mas depois que uma presença maliciosa se manifesta em sua casa e coloca seu filho Connor em perigo mortal, a fria e dura verdade sobre o mal na casa dos Harper é finalmente descoberta.",Terror,2019,en,https://image.tmdb.org/t/p/w500/1Egbm90ioUCi9Wuzrk46v4gbNaq.jpg,https://www.youtube.com/watch?v=scvw7GRyUxI,98
O Silêncio,John R. Leonetti,6.023,1592,"Em um mundo pós-apocalíptico, uma família luta para sobreviver em um cenário completamente devastado por algum tipo de espécie desconhecida. Aprendendo a caçar para comer, eles contam apenas uns com os outros em um planeta onde agora quase ninguém é confiável. Enquanto a iminência de um desconhecido ataque final assola seus pensamentos, só lhes resta tentar entender as circunstâncias.",Terror,2019,en,https://image.tmdb.org/t/p/w500/9N57HPFDopXKVzfYIyfoyenmTMj.jpg,https://www.youtube.com/watch?v=oN9DFZiZK0I,91
Campo do Medo,Vincenzo Natali,5.542,2256,"Os irmãos Becky e Cal entram em um matagal quando ouvem o choro de uma criança. Ao seguirem o barulho, a dupla percebe que não há caminho de volta. Isolados do mundo e incapazes de escapar, eles logo descobrem que a única coisa pior do que se perderem é serem encontrados.",Terror,2019,en,https://image.tmdb.org/t/p/w500/hd5JbRb2dYBFps1SLtMBJpDIiah.jpg,https://www.youtube.com/watch?v=XA-od7-JSfg,102
Do Que os Homens Gostam,Adam Shankman,6.208,1485,"Uma mulher é excluída pelos agentes esportivos masculinos em sua profissão, mas ganha uma vantagem inesperada para contratar a próxima estrela da NBA quando desenvolve a capacidade de ouvir os pensamentos dos homens.",Comédia,2019,en,https://image.tmdb.org/t/p/w500/6UDohjhxprSjsnZfqbbpuwxDPSS.jpg,https://www.youtube.com/watch?v=HeoLiTirRp4,117
Medo Profundo: O Segundo Ataque,Johannes Roberts,5.691,1437,"Um grupo de cinco amigas aventureiras viaja até Recife, região nordeste do Brasil, para conhecer as ruínas de uma cidade subaquática, no litoral da cidade. No entanto, durante o passeio pelo fundo do mar, elas descobrem que não estão sozinhas e os verdadeiros ""moradores"" do local não estão muito satisfeitos com as visitas.",Terror,2019,en,https://image.tmdb.org/t/p/w500/mIzmRFJWjMiC0EgFu0kEjFFm221.jpg,https://www.youtube.com/watch?v=fkblOBwgFSE,88
Downton Abbey,Michael Engler,7.139,1168,"A história da família Crawley, proprietários de uma grande propriedade no interior da Inglaterra no início do século 20.",Drama,2019,en,https://image.tmdb.org/t/p/w500/lXoUmgHslfmC6kIhy814unBhptx.jpg,https://www.youtube.com/watch?v=tu3mP0c51hE,122
Vingança a Sangue Frio,Hans Petter Moland,5.837,2640,"Nels é um tranquilo homem de família que trabalha como motorista de um removedor de neve e vê seu mundo virado de cabeça para baixo quando seu filho é morto por um poderoso traficante de drogas. Impulsionado pelo desejo de vingança e sem nada para perder, ele faz tudo o que for preciso para destruir o cartel.",Ação,2019,en,https://image.tmdb.org/t/p/w500/rM93VoRIdlgRKOzh5t0zYNRmNv.jpg,https://www.youtube.com/watch?v=plGFBsTrEV8,119
I Am Mother,Grant Sputore,6.699,2622,"Após a extinção da humanidade, uma adolescente criada por uma robô encontra outra humana e começa a questionar tudo o que aprendeu sobre o mundo.",Ficção científica,2019,en,https://image.tmdb.org/t/p/w500/ayPSqlpYIbeq1RiDekx6W9WUqrL.jpg,https://www.youtube.com/watch?v=N5BKctcZxrM,113
